GEO.id,GEO.id2,GEO.display-label,HD01_S001,HD02_S001,HD01_S026,HD02_S026,HD01_S051,HD02_S051,HD01_S076,HD02_S076,HD01_S077,HD02_S077,HD01_S078,HD02_S078
Id,Id2,Geography,Number; SEX AND AGE - Total population,Percent; SEX AND AGE - Total population,Number; SEX AND AGE - Male population,Percent; SEX AND AGE - Male population,Number; SEX AND AGE - Female population,Percent; SEX AND AGE - Female population,Number; RACE - Total population,Percent; RACE - Total population,Number; RACE - Total population - One Race,Percent; RACE - Total population - One Race,Number; RACE - Total population - One Race - White,Percent; RACE - Total population - One Race - White
8600000US06390,06390,ZCTA5 06390,236,100.0,118,50.0,118,50.0,236,100.0,232,98.3,227,96.2
8600000US10001,10001,ZCTA5 10001,21102,100.0,10184,48.3,10918,51.7,21102,100.0,20301,96.2,13722,65.0
8600000US10002,10002,ZCTA5 10002,81410,100.0,38570,47.4,42840,52.6,81410,100.0,78659,96.6,25506,31.3
8600000US10003,10003,ZCTA5 10003,56024,100.0,26750,47.7,29274,52.3,56024,100.0,54240,96.8,42794,76.4
8600000US10004,10004,ZCTA5 10004,3089,100.0,1610,52.1,1479,47.9,3089,100.0,2974,96.3,2167,70.2
8600000US10005,10005,ZCTA5 10005,7135,100.0,3443,48.3,3692,51.7,7135,100.0,6895,96.6,5001,70.1
8600000US10006,10006,ZCTA5 10006,3011,100.0,1519,50.4,1492,49.6,3011,100.0,2917,96.9,2088,69.3
8600000US10007,10007,ZCTA5 10007,6988,100.0,3958,56.6,3030,43.4,6988,100.0,6731,96.3,5281,75.6
8600000US10009,10009,ZCTA5 10009,61347,100.0,28433,46.3,32914,53.7,61347,100.0,58773,95.8,38077,62.1
8600000US10010,10010,ZCTA5 10010,31834,100.0,14755,46.3,17079,53.7,31834,100.0,30819,96.8,23493,73.8
8600000US10011,10011,ZCTA5 10011,50984,100.0,25998,51.0,24986,49.0,50984,100.0,49417,96.9,40922,80.3
8600000US10012,10012,ZCTA5 10012,24090,100.0,11840,49.1,12250,50.9,24090,100.0,23355,96.9,18203,75.6
8600000US10013,10013,ZCTA5 10013,27700,100.0,13951,50.4,13749,49.6,27700,100.0,26976,97.4,15407,55.6
8600000US10014,10014,ZCTA5 10014,31959,100.0,15631,48.9,16328,51.1,31959,100.0,31085,97.3,28094,87.9
8600000US10016,10016,ZCTA5 10016,54183,100.0,24814,45.8,29369,54.2,54183,100.0,52891,97.6,40517,74.8
8600000US10017,10017,ZCTA5 10017,16575,100.0,7485,45.2,9090,54.8,16575,100.0,16194,97.7,12503,75.4
8600000US10018,10018,ZCTA5 10018,5229,100.0,2795,53.5,2434,46.5,5229,100.0,5062,96.8,2979,57.0
8600000US10019,10019,ZCTA5 10019,42870,100.0,21379,49.9,21491,50.1,42870,100.0,41386,96.5,29712,69.3
8600000US10020,10020,ZCTA5 10020,0,(X),0,(X),0,(X),0,(X),0,(X),0,(X)
8600000US10021,10021,ZCTA5 10021,43631,100.0,18894,43.3,24737,56.7,43631,100.0,42844,98.2,38391,88.0
8600000US10022,10022,ZCTA5 10022,31924,100.0,14487,45.4,17437,54.6,31924,100.0,31405,98.4,27590,86.4
8600000US10023,10023,ZCTA5 10023,60998,100.0,27578,45.2,33420,54.8,60998,100.0,59555,97.6,49739,81.5
8600000US10024,10024,ZCTA5 10024,59283,100.0,27436,46.3,31847,53.7,59283,100.0,57676,97.3,49185,83.0
8600000US10025,10025,ZCTA5 10025,94600,100.0,43291,45.8,51309,54.2,94600,100.0,90446,95.6,61358,64.9
8600000US10026,10026,ZCTA5 10026,34003,100.0,15877,46.7,18126,53.3,34003,100.0,32297,95.0,7473,22.0
8600000US10027,10027,ZCTA5 10027,59707,100.0,27465,46.0,32242,54.0,59707,100.0,56800,95.1,18562,31.1
8600000US10028,10028,ZCTA5 10028,45141,100.0,19961,44.2,25180,55.8,45141,100.0,44224,98.0,39596,87.7
8600000US10029,10029,ZCTA5 10029,76003,100.0,34808,45.8,41195,54.2,76003,100.0,72203,95.0,24775,32.6
8600000US10030,10030,ZCTA5 10030,26999,100.0,12560,46.5,14439,53.5,26999,100.0,25935,96.1,2958,11.0
8600000US10031,10031,ZCTA5 10031,56438,100.0,27491,48.7,28947,51.3,56438,100.0,52619,93.2,14020,24.8
8600000US10032,10032,ZCTA5 10032,57331,100.0,27659,48.2,29672,51.8,57331,100.0,53051,92.5,16205,28.3
8600000US10033,10033,ZCTA5 10033,53926,100.0,26461,49.1,27465,50.9,53926,100.0,50025,92.8,22900,42.5
8600000US10034,10034,ZCTA5 10034,38908,100.0,18260,46.9,20648,53.1,38908,100.0,36037,92.6,14560,37.4
8600000US10035,10035,ZCTA5 10035,33969,100.0,17014,50.1,16955,49.9,33969,100.0,32182,94.7,8517,25.1
8600000US10036,10036,ZCTA5 10036,24711,100.0,13786,55.8,10925,44.2,24711,100.0,23805,96.3,15736,63.7
8600000US10037,10037,ZCTA5 10037,17416,100.0,7307,42.0,10109,58.0,17416,100.0,16711,96.0,1465,8.4
8600000US10038,10038,ZCTA5 10038,20300,100.0,9410,46.4,10890,53.6,20300,100.0,19597,96.5,10819,53.3
8600000US10039,10039,ZCTA5 10039,24527,100.0,10992,44.8,13535,55.2,24527,100.0,23582,96.1,2636,10.7
8600000US10040,10040,ZCTA5 10040,41905,100.0,19326,46.1,22579,53.9,41905,100.0,38698,92.3,16204,38.7
8600000US10044,10044,ZCTA5 10044,11661,100.0,5710,49.0,5951,51.0,11661,100.0,11118,95.3,5952,51.0
8600000US10065,10065,ZCTA5 10065,32270,100.0,14360,44.5,17910,55.5,32270,100.0,31653,98.1,27771,86.1
8600000US10069,10069,ZCTA5 10069,5199,100.0,2451,47.1,2748,52.9,5199,100.0,5053,97.2,3750,72.1
8600000US10075,10075,ZCTA5 10075,26121,100.0,11205,42.9,14916,57.1,26121,100.0,25616,98.1,22970,87.9
8600000US10103,10103,ZCTA5 10103,3,100.0,1,33.3,2,66.7,3,100.0,3,100.0,1,33.3
8600000US10110,10110,ZCTA5 10110,0,(X),0,(X),0,(X),0,(X),0,(X),0,(X)
8600000US10111,10111,ZCTA5 10111,0,(X),0,(X),0,(X),0,(X),0,(X),0,(X)
8600000US10112,10112,ZCTA5 10112,0,(X),0,(X),0,(X),0,(X),0,(X),0,(X)
8600000US10115,10115,ZCTA5 10115,0,(X),0,(X),0,(X),0,(X),0,(X),0,(X)
8600000US10119,10119,ZCTA5 10119,92,100.0,61,66.3,31,33.7,92,100.0,91,98.9,23,25.0
8600000US10128,10128,ZCTA5 10128,60453,100.0,26876,44.5,33577,55.5,60453,100.0,58836,97.3,48582,80.4
8600000US10152,10152,ZCTA5 10152,0,(X),0,(X),0,(X),0,(X),0,(X),0,(X)
8600000US10153,10153,ZCTA5 10153,0,(X),0,(X),0,(X),0,(X),0,(X),0,(X)
8600000US10154,10154,ZCTA5 10154,0,(X),0,(X),0,(X),0,(X),0,(X),0,(X)
8600000US10162,10162,ZCTA5 10162,1685,100.0,765,45.4,920,54.6,1685,100.0,1648,97.8,1519,90.1
8600000US10165,10165,ZCTA5 10165,2,100.0,0,0.0,2,100.0,2,100.0,2,100.0,0,0.0
8600000US10167,10167,ZCTA5 10167,0,(X),0,(X),0,(X),0,(X),0,(X),0,(X)
8600000US10168,10168,ZCTA5 10168,0,(X),0,(X),0,(X),0,(X),0,(X),0,(X)
8600000US10169,10169,ZCTA5 10169,0,(X),0,(X),0,(X),0,(X),0,(X),0,(X)
8600000US10170,10170,ZCTA5 10170,2,100.0,1,50.0,1,50.0,2,100.0,2,100.0,0,0.0
8600000US10171,10171,ZCTA5 10171,0,(X),0,(X),0,(X),0,(X),0,(X),0,(X)
8600000US10172,10172,ZCTA5 10172,0,(X),0,(X),0,(X),0,(X),0,(X),0,(X)
8600000US10173,10173,ZCTA5 10173,2,100.0,2,100.0,0,0.0,2,100.0,2,100.0,1,50.0
8600000US10174,10174,ZCTA5 10174,0,(X),0,(X),0,(X),0,(X),0,(X),0,(X)
8600000US10177,10177,ZCTA5 10177,0,(X),0,(X),0,(X),0,(X),0,(X),0,(X)
8600000US10199,10199,ZCTA5 10199,9,100.0,6,66.7,3,33.3,9,100.0,9,100.0,9,100.0
8600000US10271,10271,ZCTA5 10271,0,(X),0,(X),0,(X),0,(X),0,(X),0,(X)
8600000US10278,10278,ZCTA5 10278,0,(X),0,(X),0,(X),0,(X),0,(X),0,(X)
8600000US10279,10279,ZCTA5 10279,0,(X),0,(X),0,(X),0,(X),0,(X),0,(X)
8600000US10280,10280,ZCTA5 10280,7853,100.0,3786,48.2,4067,51.8,7853,100.0,7575,96.5,5464,69.6
8600000US10282,10282,ZCTA5 10282,4783,100.0,2331,48.7,2452,51.3,4783,100.0,4609,96.4,3756,78.5
8600000US10301,10301,ZCTA5 10301,39706,100.0,19279,48.6,20427,51.4,39706,100.0,38013,95.7,21597,54.4
8600000US10302,10302,ZCTA5 10302,19088,100.0,9605,50.3,9483,49.7,19088,100.0,18126,95.0,9367,49.1
8600000US10303,10303,ZCTA5 10303,26337,100.0,12625,47.9,13712,52.1,26337,100.0,25122,95.4,8918,33.9
8600000US10304,10304,ZCTA5 10304,42193,100.0,20206,47.9,21987,52.1,42193,100.0,40792,96.7,20187,47.8
8600000US10305,10305,ZCTA5 10305,41749,100.0,20292,48.6,21457,51.4,41749,100.0,40714,97.5,31831,76.2
8600000US10306,10306,ZCTA5 10306,55909,100.0,26688,47.7,29221,52.3,55909,100.0,54858,98.1,49134,87.9
8600000US10307,10307,ZCTA5 10307,14096,100.0,6981,49.5,7115,50.5,14096,100.0,13904,98.6,13170,93.4
8600000US10308,10308,ZCTA5 10308,27357,100.0,13288,48.6,14069,51.4,27357,100.0,27007,98.7,25604,93.6
8600000US10309,10309,ZCTA5 10309,32519,100.0,16352,50.3,16167,49.7,32519,100.0,32164,98.9,29611,91.1
8600000US10310,10310,ZCTA5 10310,24962,100.0,12058,48.3,12904,51.7,24962,100.0,23937,95.9,13507,54.1
8600000US10311,10311,ZCTA5 10311,0,(X),0,(X),0,(X),0,(X),0,(X),0,(X)
8600000US10312,10312,ZCTA5 10312,59304,100.0,28776,48.5,30528,51.5,59304,100.0,58525,98.7,53858,90.8
8600000US10314,10314,ZCTA5 10314,85510,100.0,41139,48.1,44371,51.9,85510,100.0,83450,97.6,64893,75.9
8600000US10451,10451,ZCTA5 10451,45713,100.0,20567,45.0,25146,55.0,45713,100.0,42977,94.0,8698,19.0
8600000US10452,10452,ZCTA5 10452,75371,100.0,35560,47.2,39811,52.8,75371,100.0,70643,93.7,14470,19.2
8600000US10453,10453,ZCTA5 10453,78309,100.0,36524,46.6,41785,53.4,78309,100.0,73477,93.8,13623,17.4
8600000US10454,10454,ZCTA5 10454,37337,100.0,17724,47.5,19613,52.5,37337,100.0,35093,94.0,8954,24.0
8600000US10455,10455,ZCTA5 10455,39665,100.0,18779,47.3,20886,52.7,39665,100.0,37172,93.7,9865,24.9
8600000US10456,10456,ZCTA5 10456,86547,100.0,40285,46.5,46262,53.5,86547,100.0,81500,94.2,13330,15.4
8600000US10457,10457,ZCTA5 10457,70496,100.0,32837,46.6,37659,53.4,70496,100.0,66209,93.9,14296,20.3
8600000US10458,10458,ZCTA5 10458,79492,100.0,38432,48.3,41060,51.7,79492,100.0,74829,94.1,23623,29.7
8600000US10459,10459,ZCTA5 10459,47308,100.0,22233,47.0,25075,53.0,47308,100.0,44077,93.2,11017,23.3
8600000US10460,10460,ZCTA5 10460,57311,100.0,26496,46.2,30815,53.8,57311,100.0,54056,94.3,14145,24.7
8600000US10461,10461,ZCTA5 10461,50502,100.0,24060,47.6,26442,52.4,50502,100.0,48570,96.2,29872,59.2
8600000US10462,10462,ZCTA5 10462,75784,100.0,35475,46.8,40309,53.2,75784,100.0,71685,94.6,24489,32.3
8600000US10463,10463,ZCTA5 10463,67970,100.0,30647,45.1,37323,54.9,67970,100.0,64605,95.0,34861,51.3
8600000US10464,10464,ZCTA5 10464,4534,100.0,2208,48.7,2326,51.3,4534,100.0,4431,97.7,3855,85.0
8600000US10465,10465,ZCTA5 10465,42230,100.0,20186,47.8,22044,52.2,42230,100.0,40852,96.7,29223,69.2
8600000US10466,10466,ZCTA5 10466,67813,100.0,30460,44.9,37353,55.1,67813,100.0,65469,96.5,6808,10.0
8600000US10467,10467,ZCTA5 10467,97060,100.0,45318,46.7,51742,53.3,97060,100.0,92259,95.1,25817,26.6
8600000US10468,10468,ZCTA5 10468,76103,100.0,35897,47.2,40206,52.8,76103,100.0,70949,93.2,18858,24.8
8600000US10469,10469,ZCTA5 10469,66631,100.0,30422,45.7,36209,54.3,66631,100.0,64492,96.8,15090,22.6
8600000US10470,10470,ZCTA5 10470,15293,100.0,7136,46.7,8157,53.3,15293,100.0,14771,96.6,7411,48.5
8600000US10471,10471,ZCTA5 10471,22922,100.0,10272,44.8,12650,55.2,22922,100.0,22174,96.7,16706,72.9
8600000US10472,10472,ZCTA5 10472,66358,100.0,31908,48.1,34450,51.9,66358,100.0,62411,94.1,16515,24.9
8600000US10473,10473,ZCTA5 10473,58519,100.0,26158,44.7,32361,55.3,58519,100.0,55214,94.4,13707,23.4
8600000US10474,10474,ZCTA5 10474,12281,100.0,6300,51.3,5981,48.7,12281,100.0,11439,93.1,2832,23.1
8600000US10475,10475,ZCTA5 10475,40931,100.0,17258,42.2,23673,57.8,40931,100.0,39367,96.2,8822,21.6
8600000US10501,10501,ZCTA5 10501,1219,100.0,621,50.9,598,49.1,1219,100.0,1206,98.9,1152,94.5
8600000US10502,10502,ZCTA5 10502,5487,100.0,2585,47.1,2902,52.9,5487,100.0,5380,98.0,4320,78.7
8600000US10503,10503,ZCTA5 10503,108,100.0,42,38.9,66,61.1,108,100.0,107,99.1,101,93.5
8600000US10504,10504,ZCTA5 10504,7987,100.0,3968,49.7,4019,50.3,7987,100.0,7889,98.8,7401,92.7
8600000US10505,10505,ZCTA5 10505,851,100.0,422,49.6,429,50.4,851,100.0,837,98.4,720,84.6
8600000US10506,10506,ZCTA5 10506,5790,100.0,2877,49.7,2913,50.3,5790,100.0,5723,98.8,5416,93.5
8600000US10507,10507,ZCTA5 10507,6408,100.0,2591,40.4,3817,59.6,6408,100.0,6259,97.7,4760,74.3
8600000US10509,10509,ZCTA5 10509,19507,100.0,9916,50.8,9591,49.2,19507,100.0,19113,98.0,17364,89.0
8600000US10510,10510,ZCTA5 10510,9988,100.0,4794,48.0,5194,52.0,9988,100.0,9807,98.2,8649,86.6
8600000US10511,10511,ZCTA5 10511,2246,100.0,1129,50.3,1117,49.7,2246,100.0,2199,97.9,2028,90.3
8600000US10512,10512,ZCTA5 10512,25590,100.0,12615,49.3,12975,50.7,25590,100.0,25091,98.1,23177,90.6
8600000US10514,10514,ZCTA5 10514,11946,100.0,5920,49.6,6026,50.4,11946,100.0,11713,98.0,10497,87.9
8600000US10516,10516,ZCTA5 10516,5289,100.0,2592,49.0,2697,51.0,5289,100.0,5189,98.1,4941,93.4
8600000US10517,10517,ZCTA5 10517,539,100.0,263,48.8,276,51.2,539,100.0,524,97.2,440,81.6
8600000US10518,10518,ZCTA5 10518,1268,100.0,602,47.5,666,52.5,1268,100.0,1233,97.2,1151,90.8
8600000US10519,10519,ZCTA5 10519,316,100.0,151,47.8,165,52.2,316,100.0,306,96.8,255,80.7
8600000US10520,10520,ZCTA5 10520,12810,100.0,6112,47.7,6698,52.3,12810,100.0,12466,97.3,11104,86.7
8600000US10522,10522,ZCTA5 10522,10875,100.0,5192,47.7,5683,52.3,10875,100.0,10608,97.5,8548,78.6
8600000US10523,10523,ZCTA5 10523,7444,100.0,3723,50.0,3721,50.0,7444,100.0,7137,95.9,3301,44.3
8600000US10524,10524,ZCTA5 10524,4421,100.0,2159,48.8,2262,51.2,4421,100.0,4327,97.9,4100,92.7
8600000US10526,10526,ZCTA5 10526,1809,100.0,869,48.0,940,52.0,1809,100.0,1770,97.8,1672,92.4
8600000US10527,10527,ZCTA5 10527,908,100.0,459,50.6,449,49.4,908,100.0,895,98.6,865,95.3
8600000US10528,10528,ZCTA5 10528,12280,100.0,5868,47.8,6412,52.2,12280,100.0,12028,97.9,10363,84.4
8600000US10530,10530,ZCTA5 10530,12604,100.0,5733,45.5,6871,54.5,12604,100.0,12332,97.8,9505,75.4
8600000US10532,10532,ZCTA5 10532,4931,100.0,2423,49.1,2508,50.9,4931,100.0,4889,99.1,4544,92.2
8600000US10533,10533,ZCTA5 10533,7322,100.0,3480,47.5,3842,52.5,7322,100.0,7178,98.0,6341,86.6
8600000US10535,10535,ZCTA5 10535,555,100.0,266,47.9,289,52.1,555,100.0,530,95.5,435,78.4
8600000US10536,10536,ZCTA5 10536,10739,100.0,5257,49.0,5482,51.0,10739,100.0,10576,98.5,9994,93.1
8600000US10537,10537,ZCTA5 10537,2416,100.0,1214,50.2,1202,49.8,2416,100.0,2333,96.6,2074,85.8
8600000US10538,10538,ZCTA5 10538,16597,100.0,7997,48.2,8600,51.8,16597,100.0,16252,97.9,15187,91.5
8600000US10541,10541,ZCTA5 10541,26339,100.0,13053,49.6,13286,50.4,26339,100.0,25902,98.3,24411,92.7
8600000US10543,10543,ZCTA5 10543,20135,100.0,9809,48.7,10326,51.3,20135,100.0,19531,97.0,15539,77.2
8600000US10545,10545,ZCTA5 10545,141,100.0,140,99.3,1,0.7,141,100.0,141,100.0,139,98.6
8600000US10546,10546,ZCTA5 10546,1277,100.0,629,49.3,648,50.7,1277,100.0,1268,99.3,1076,84.3
8600000US10547,10547,ZCTA5 10547,7647,100.0,3757,49.1,3890,50.9,7647,100.0,7449,97.4,6130,80.2
8600000US10548,10548,ZCTA5 10548,3487,100.0,1724,49.4,1763,50.6,3487,100.0,3404,97.6,3134,89.9
8600000US10549,10549,ZCTA5 10549,16638,100.0,8534,51.3,8104,48.7,16638,100.0,16086,96.7,12844,77.2
8600000US10550,10550,ZCTA5 10550,37144,100.0,16954,45.6,20190,54.4,37144,100.0,35656,96.0,5542,14.9
8600000US10552,10552,ZCTA5 10552,19786,100.0,8980,45.4,10806,54.6,19786,100.0,19070,96.4,10037,50.7
8600000US10553,10553,ZCTA5 10553,10170,100.0,4554,44.8,5616,55.2,10170,100.0,9868,97.0,628,6.2
8600000US10560,10560,ZCTA5 10560,4737,100.0,2303,48.6,2434,51.4,4737,100.0,4674,98.7,4481,94.6
8600000US10562,10562,ZCTA5 10562,31796,100.0,16436,51.7,15360,48.3,31796,100.0,30639,96.4,19429,61.1
8600000US10566,10566,ZCTA5 10566,23570,100.0,11517,48.9,12053,51.1,23570,100.0,22202,94.2,12095,51.3
8600000US10567,10567,ZCTA5 10567,19929,100.0,9844,49.4,10085,50.6,19929,100.0,19400,97.3,16421,82.4
8600000US10570,10570,ZCTA5 10570,12680,100.0,6155,48.5,6525,51.5,12680,100.0,12457,98.2,10962,86.5
8600000US10573,10573,ZCTA5 10573,38352,100.0,19599,51.1,18753,48.9,38352,100.0,36803,96.0,26034,67.9
8600000US10576,10576,ZCTA5 10576,5116,100.0,2524,49.3,2592,50.7,5116,100.0,5015,98.0,4792,93.7
8600000US10577,10577,ZCTA5 10577,6552,100.0,2877,43.9,3675,56.1,6552,100.0,6334,96.7,5077,77.5
8600000US10578,10578,ZCTA5 10578,681,100.0,328,48.2,353,51.8,681,100.0,672,98.7,629,92.4
8600000US10579,10579,ZCTA5 10579,8675,100.0,4366,50.3,4309,49.7,8675,100.0,8477,97.7,8021,92.5
8600000US10580,10580,ZCTA5 10580,17208,100.0,8270,48.1,8938,51.9,17208,100.0,16927,98.4,15486,90.0
8600000US10583,10583,ZCTA5 10583,38982,100.0,18773,48.2,20209,51.8,38982,100.0,38224,98.1,31707,81.3
8600000US10588,10588,ZCTA5 10588,2282,100.0,1086,47.6,1196,52.4,2282,100.0,2227,97.6,1999,87.6
8600000US10589,10589,ZCTA5 10589,8475,100.0,3789,44.7,4686,55.3,8475,100.0,8401,99.1,7847,92.6
8600000US10590,10590,ZCTA5 10590,6767,100.0,3352,49.5,3415,50.5,6767,100.0,6633,98.0,6352,93.9
8600000US10591,10591,ZCTA5 10591,22540,100.0,10698,47.5,11842,52.5,22540,100.0,21669,96.1,15557,69.0
8600000US10594,10594,ZCTA5 10594,5117,100.0,2566,50.1,2551,49.9,5117,100.0,5047,98.6,4460,87.2
8600000US10595,10595,ZCTA5 10595,8195,100.0,4572,55.8,3623,44.2,8195,100.0,8036,98.1,6214,75.8
8600000US10596,10596,ZCTA5 10596,1729,100.0,829,47.9,900,52.1,1729,100.0,1685,97.5,1545,89.4
8600000US10597,10597,ZCTA5 10597,968,100.0,485,50.1,483,49.9,968,100.0,965,99.7,943,97.4
8600000US10598,10598,ZCTA5 10598,28647,100.0,13868,48.4,14779,51.6,28647,100.0,28175,98.4,25645,89.5
8600000US10601,10601,ZCTA5 10601,11376,100.0,5320,46.8,6056,53.2,11376,100.0,10844,95.3,6205,54.5
8600000US10603,10603,ZCTA5 10603,17045,100.0,7891,46.3,9154,53.7,17045,100.0,16397,96.2,8981,52.7
8600000US10604,10604,ZCTA5 10604,11250,100.0,5391,47.9,5859,52.1,11250,100.0,10924,97.1,8678,77.1
